189.0,144.0,9,0.0,0.0.1,0.0.2,0.0.3,0.0.4,0.0.5,0.0.6,0.0.7,0.0.8,0.0.9,0.0.10,0.0.11,0.0.12,0.0.13,0.0.14,0.0.15,0
211.0,139.0,9,0.0,0.0,0.33333334,0.0888888999999999,0.27777782,0.06296302,5.222222299999999,3.2222223,9.555555,2.8888888,-6.0,13.0,-7.0,9.555555,0.69660497,-2.04457,0
202.0,63.0,9,0.0,0.0,0.38888907,0.3277309,0.44444466,0.27216563,6.0740743,4.0,10.555555,3.6666667,-6.222222299999999,13.444445000000002,-7.222222299999999,10.555555,0.65353537,-2.04457,0
148.0,192.0,9,0.11111111,0.0,4.0000005,2.1807232000000005,4.944445,3.866763,58.11111,51.77778,72.0,50.555557,-19.0,41.666668,-22.666666,72.0,0.2993077,-2.0340476,1
238.0,61.0,9,0.0,0.0,0.66666657,0.4714045,0.7222221,0.49065334,8.777778,5.888889,14.333332999999998,6.111111,-8.666667,16.666666,-8.0,14.333332999999998,0.5888227,-2.1218371,0
228.0,90.0,9,0.0,0.0,1.8333334,2.2085693,2.2222223,2.4645634,16.851851999999997,12.888889,24.444445,13.222222,-11.888889,22.777779,-10.888889,24.444445,0.47554862,-2.1227303,0
235.0,196.0,9,0.0,0.0,1.6666666,1.333334,2.222222,1.1482682,47.25926,41.77778,58.55555699999999,41.444443,-16.444445,33.88889,-17.444445,58.55555699999999,0.29423782,-2.0746155,1
54.0,176.0,9,0.0,0.0,2.1111126,0.68853056,2.6666672,2.6915512,50.666668,46.0,62.66666800000001,43.333332,-14.0,36.0,-22.0,62.66666800000001,0.30857325,-1.9514097,1
42.0,135.0,9,0.0,0.0,0.38888893,0.15185186,0.44444445,0.16296294,2.4074075,1.3333334,5.111111,0.7777778000000001,-3.2222223,8.111111,-4.888889,5.111111,0.84973544,-1.9721864,0
4.0,201.0,9,0.0,0.22222222,2.722222,1.6788458,5.2222214000000005,3.1245742,53.70370500000001,47.11111,67.22222,46.77778,-19.777779,40.555557,-20.777779,67.22222,0.30885938,-2.0752265,1
233.0,105.0,9,0.0,0.0,6.277777,2.3134080000000004,0.9444445,0.742867,15.185185,12.666667,19.777779,13.111111,-7.5555553,13.777778,-6.222222299999999,19.777779,0.35376814,-2.1615713,0
6.0,154.0,9,0.0,0.0,0.11111113,0.029629631,0.11111111,0.029629635,0.074074075,0.0,0.22222222,0.0,-0.22222222,0.44444445,-0.22222222,0.22222222,0.22222222,-2.0943952,0
77.0,185.0,9,0.0,0.0,2.944445,7.6629586,6.2222214000000005,32.118523,32.555557,29.222221,39.666668,28.777779,-10.0,21.333334,-11.333333,39.666668,0.27036038,-2.0852716,1
137.0,92.0,9,0.0,0.0,7.3888893,7.379901400000001,0.7777779,0.34426498,9.962963,7.111111,15.555554999999998,7.222222299999999,-8.555555,16.777779000000002,-8.222222,15.555554999999998,0.6084366,-2.0967047,0
249.0,173.0,9,0.11111111,0.0,1.6666654,1.6465436999999998,3.6111107,2.1125717,55.185184,48.555557,69.55556,47.444443,-19.88889,43.11111,-23.222221,69.55556,0.32108474,-2.0417202000000003,1
196.0,95.0,9,0.0,0.0,1.722222,1.1238165,1.3333335,1.264911,7.6296296,6.777777700000001,10.777778,5.3333335,-2.5555556,9.444445,-6.888889,10.777778,0.51256585,-1.7492584,0
172.0,138.0,9,0.0,0.0,2.4444444,10.074077,7.833333500000001,49.633343,12.185185,8.222222,19.222221,9.111111,-11.888889,21.11111,-9.222222,19.222221,0.6152501,-2.172099,0
20.0,134.0,9,0.0,0.0,0.6666667,0.088888995,0.61111116,0.24074072,2.9629629,1.1111112,6.4444447,1.3333334,-5.5555553,10.444445,-4.888889,6.4444447,0.8292328000000001,-2.133095,0
174.0,115.0,9,0.0,0.0,2.444444,3.407407,3.6666663,12.266669,29.481482,23.11111,40.11111,25.222221,-19.11111,31.888890000000004,-12.777778,40.11111,0.42149335,-2.2186553,0
170.0,143.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
151.0,163.0,9,0.0,0.0,2.0555556,2.2851863,18.166666,41.988934,40.0,34.555557,48.0,37.444443,-16.333334,24.0,-7.666666499999999,48.11111,0.2638465,-2.5174901000000003,1
76.0,89.0,9,0.0,0.0,1.0555558,0.952579,3.2777784,2.4532664,16.814816,12.888889,24.444445,13.111111,-11.777778,22.88889,-11.111111,24.444445,0.47304532,-2.11184,0
63.0,201.0,9,0.0,0.0,2.1111119,1.7341881999999995,2.5000007,1.656637,61.629630000000006,54.88889,76.44444,53.55555699999999,-20.222221,44.444443,-24.222221,76.44444,0.29921305,-2.0341187,1
28.0,204.0,9,0.0,0.0,2.0000007,1.7638338,3.222222,2.0834446,55.88889,49.77778,69.22222,48.666668,-18.333334,40.0,-21.666666,69.22222,0.29685017,-2.0373702,1
205.0,190.0,9,0.0,0.0,1.2777773,0.9981452,1.6111107,1.1238158,49.48148,44.77778,60.66666800000001,43.0,-14.111111,33.555557,-19.444445,60.66666800000001,0.29078844,-1.9875989,1
37.0,189.0,9,0.0,0.0,1.3888893,1.4851843999999998,5.7222230000000005,23.885176,30.0,27.11111,36.333336,26.555555,-8.666667,19.0,-10.333333,36.333336,0.26524833,-2.050282,1
156.0,86.0,9,0.0,0.0,2.2777777,0.38968182,0.27777767,0.250924,20.444445,15.888889,28.555555,16.88889,-13.666667000000002,24.333334,-10.666667,28.555555,0.44469786,-2.1782806,0
45.0,205.0,9,0.0,0.0,1.9444453,2.1951118,3.333334,2.5298228,50.25926,44.88889,61.77778000000001,44.11111,-16.11111,34.555557,-18.444445,61.77778000000001,0.28757253,-2.0446525,1
64.0,186.0,9,0.0,0.0,2.166667,1.9444438,6.833334,53.58886999999999,30.777779,27.555555,37.88889,26.888890000000004,-9.666667,21.333334,-11.666667,37.88889,0.27672648,-2.0463068,1
132.0,182.0,9,0.0,0.0,0.8888893,0.655462,2.1111114,1.7722135,43.51852,40.22222,52.55555699999999,37.77778,-9.888889,27.11111,-17.222220999999998,52.55555699999999,0.2807636,-1.917349,1
235.0,86.0,9,0.0,0.0,0.27777782,0.018518519,0.27777782,0.062963,12.333333,7.777777700000001,21.11111,8.111112,-13.666667000000002,26.333334000000004,-12.666667,21.11111,0.63092834,-2.1201534,0
214.0,161.0,9,0.0,0.0,3.7222223,0.72963357,11.5,18.922234,40.444443,35.333336,49.666668,36.333336,-15.333332999999998,27.666666,-12.333333,49.666668,0.29805613,-2.198939,1
247.0,174.0,9,0.11111111,0.0,3.1111107,2.68052,3.1666667,1.545604,56.185184,49.444443,70.88889,48.22222,-20.222221,44.11111,-23.88889,70.88889,0.3230207,-2.0373507,1
221.0,154.0,9,0.11111111,0.11111111,4.222222299999999,2.740737,1.2777778,0.5962960999999999,6.4814816,4.3333335,10.777778,4.3333335,-6.4444447,12.888889,-6.4444447,10.777778,0.6248001999999999,-2.0879846,0
5.0,210.0,9,0.0,0.11111111,2.1666672,1.6699982,4.444444,2.613356,51.296295,45.444443,64.333336,44.11111,-17.555555,39.11111,-21.555555,64.333336,0.3175664,-2.0208955,1
34.0,93.0,9,0.0,0.0,0.55555564,0.2721653,0.3888887,0.38968167,14.814815,10.444445,23.444445,10.555555,-13.111111,25.88889,-12.777778,23.444445,0.55917877,-2.102707,0
142.0,111.0,9,0.0,0.0,1.1111113,0.45541987,0.55555534,0.34426492,28.74074,24.555555,35.88889,25.777779,-12.555555,21.444445,-8.888889,35.88889,0.31548372,-2.2026672,0
156.0,79.0,9,0.0,0.11111111,1.9444443,2.4532669,4.777777700000001,3.4875438,14.185185,10.555555,20.555555,11.444445,-10.888889,19.11111,-8.222222,20.555555,0.4850439,-2.1758432,0
229.0,195.0,9,0.0,0.0,4.166666,2.2779152000000003,4.111111,2.2476342,47.703705,42.444443,58.88889,41.77778,-15.777778,33.555557,-17.777779000000002,58.88889,0.29027814,-2.0527046,1
180.0,141.0,9,0.0,0.0,0.0555555629999999,0.13608278,0.055555556,0.13608277,0.037037037,0.0,0.11111111,0.0,-0.11111111,0.22222222,-0.11111111,0.11111111,0.11111111,-2.0943952,0
202.0,129.0,9,0.0,0.0,0.22222225,0.54433113,3.4444447,3.804481,2.2962964,2.4444444,2.5555556,1.8888888,0.44444445,0.7777778000000001,-1.2222222,2.6666667,0.09656084,-1.1013936000000002,0
252.0,137.0,9,0.0,0.0,0.88888884,0.544331,0.6111111,0.71232533,0.7407406999999999,0.33333334,1.7777778000000002,0.11111111,-1.2222222,3.1111112000000003,-1.8888888,1.7777778000000002,0.75,-2.0076063000000004,0
32.0,173.0,9,0.0,0.0,1.7222217,1.7815932,9.0,6.749488,43.592594,39.555557,52.88889,38.333336,-12.111111,27.888890000000004,-15.777778,52.88889,0.26691392,-1.9988575,1
25.0,208.0,9,0.0,0.0,5.7222233000000005,4.841564,6.3333344,3.5527778,55.629630000000006,48.22222,70.333336,48.333332,-22.222221,44.11111,-21.88889,70.333336,0.32059526,-2.0945847,1
173.0,93.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185.0,84.0,9,0.0,0.0,0.61111134,0.49065334,0.49999937,0.4594679,23.25926,18.666668,31.333334000000004,19.777779,-13.777778,24.222221,-10.444445,31.333334000000004,0.40409946,-2.1848617000000004,0
57.0,89.0,9,0.0,0.0,1.7222221999999998,1.3066783000000002,6.1666665,4.703426400000001,17.0,13.0,24.555555,13.444445000000002,-12.0,22.666666,-10.666667,24.555555,0.47748852,-2.1297464,0
227.0,195.0,9,0.11111111,0.0,2.5,2.2385526,3.5000007000000006,2.8886762000000004,47.74074,42.77778,58.55555699999999,41.88889,-14.888889,32.444443,-17.555555,58.55555699999999,0.28449497,-2.038956,1
50.0,199.0,9,0.0,0.0,3.2222226000000003,2.9789395,5.611111,4.6159945,55.66666800000001,49.11111,69.77778,48.11111,-19.666666,42.333332,-22.666666,69.77778,0.31241447,-2.0454311,1
189.0,187.0,9,0.0,0.0,1.2222227,1.0036974,3.0555553,2.3890193,48.51852,44.11111,59.88889,41.555557,-13.222222,34.11111,-20.88889,59.88889,0.30575457,-1.9474715,1
41.0,139.0,9,0.0,0.0,0.0555555629999999,0.0185185239999999,0.11111113,0.029629637,1.2962962,0.0,3.8888888,0.0,-3.8888888,7.777777700000001,-3.8888888,3.8888888,1.0,-2.0943952,0
123.0,194.0,9,0.0,0.0,2.555556,1.7847078,9.111109,7.713384599999999,60.814816,54.33333199999999,74.888885,53.22221999999999,-19.444445,42.22222,-22.777779,74.888885,0.29238248,-2.033605,1
171.0,187.0,9,0.0,0.11111111,2.9444454,1.7309813000000005,2.6666672,2.4312778,48.37037,43.333332,60.11111,41.666668,-15.111111,35.22222,-20.11111,60.11111,0.3067255,-1.9985466,1
68.0,135.0,9,0.0,0.0,0.83333343,0.47777793,0.3333334,0.2666667,6.222222299999999,4.0,10.444445,4.222222299999999,-6.666666499999999,12.666667,-6.0,10.444445,0.6175925999999999,-2.1255164,0
145.0,163.0,9,0.0,0.0,3.1111114,13.496301,18.666666,27.244467,39.444443,34.0,47.77778,36.555557,-16.333334,25.0,-8.666667,48.11111,0.28153613,-2.4253242000000004,1
10.0,190.0,9,0.0,0.0,2.6666672,6.977775,2.5000007,2.6555543,32.962963,29.333334000000004,41.11111,28.444445,-10.888889,24.444445,-13.555554999999998,41.11111,0.30570525,-2.020042,1
77.0,186.0,9,0.0,0.0,1.9999996,2.6666656000000004,2.333333,3.5555558,34.962963,31.11111,43.444443,30.333334000000004,-11.555555,25.444445,-13.888889,43.444443,0.3033765999999999,-2.0366416000000003,1
225.0,58.0,9,0.0,0.0,0.3333335,0.42163706,0.4444444999999999,0.34426522,8.333333,5.5555553,14.111111,5.3333335,-8.333333,17.333334,-9.0,14.111111,0.62222224,-2.0685637,0
223.0,175.0,9,0.0,0.0,3.7777786,3.1245742,7.166668,4.68923,57.851852,50.77778,72.77778,50.0,-21.222221,44.77778,-23.555555,72.77778,0.31283396,-2.05935,1
73.0,201.0,9,0.0,0.11111111,0.7222225999999999,0.64693,4.444444,2.4555306,58.70370500000001,52.88889,72.22222,51.0,-17.444445,40.555557,-23.11111,72.22222,0.29418743,-1.9977362,1
40.0,142.0,9,0.0,0.0,0.27777782,0.1360828,0.22222225,0.17213261,1.2222222,0.11111111,3.5555556000000004,0.0,-3.3333333,7.0,-3.6666667,3.5555556000000004,1.0,-2.0561552,0
200.0,189.0,9,0.0,0.0,1.1111113,1.0886619,3.1666667,1.0055408,49.666668,45.11111,60.88889,43.0,-13.666667000000002,33.666668,-20.0,60.88889,0.2938097,-1.9732205000000005,1
143.0,114.0,9,0.0,0.0,1.5,0.80966365,0.3888887,0.389682,27.185184000000003,23.0,34.444447,24.11111,-12.555555,21.777779,-9.222222,34.444447,0.33188802,-2.196423,0
95.0,191.0,9,0.0,0.11111111,3.1666667,2.786874,6.0000014,5.1854515,60.25926,52.44444300000001,76.22222,52.11111,-23.444445,47.88889,-24.444445,76.22222,0.3208649,-2.0776508,1
86.0,197.0,9,0.11111111,0.11111111,1.611112,1.4516907,1.2777786,1.1038647,63.22221999999999,56.22221999999999,77.77778,55.66666800000001,-21.0,43.666668,-22.666666,77.77778,0.28533262,-2.06802,1
222.0,62.0,9,0.0,0.0,0.27777782,0.2509242,0.6666667,0.55777335,6.4074073,4.111111,11.444445,3.6666667,-6.888889,15.111111,-8.222222,11.444445,0.68080807,-2.0341523,0
222.0,131.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
182.0,152.0,9,0.0,0.0,0.77777785,0.98130673,0.8333333,1.0903618,0.7777778000000001,0.33333334,1.6666666,0.33333334,-1.3333334,2.6666667,-1.3333334,1.6666666,0.70555556,-2.0943952,0
250.0,131.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
105.0,193.0,9,0.0,0.0,3.222222,1.9051597,2.8888893,2.1773255,60.11111,53.11111,75.111115,52.11111,-21.0,45.0,-24.0,75.111115,0.30846536,-2.047766,1
220.0,61.0,9,0.0,0.0,0.27777776,0.13608277,0.5555555999999999,0.27216548,6.888889,4.5555553,12.0,4.111111,-7.0,15.333332999999998,-8.333333,12.0,0.65589225,-2.039459,0
61.0,202.0,9,0.0,0.0,2.2777774,1.8787305,1.8888887,1.0036967,61.629630000000006,55.0,76.0,53.88889,-19.88889,43.11111,-23.222221,76.0,0.29352704,-2.0435379,1
212.0,94.0,9,0.0,0.0,1.722222,2.374074,1.2222222,0.962962,15.62963,10.555555,24.88889,11.444445,-15.222222,27.777779,-12.555555,24.88889,0.57665956,-2.1594663,0
134.0,191.0,9,0.0,0.0,1.3888893,1.3066788,1.4444447,1.0886624,61.66666800000001,54.77778000000001,76.66667,53.55555699999999,-20.666666,45.0,-24.333334,76.66667,0.30299366,-2.0412767,1
119.0,196.0,9,0.0,0.0,2.666666,2.1499357000000003,1.3888893,1.35674,53.33333199999999,47.333332,65.66667,47.0,-18.0,37.0,-19.0,65.66667,0.2935857,-2.0791848,1
155.0,40.0,9,0.0,0.0,1.888889,2.072751,0.05555554,0.13608274,1.2592591999999998,1.2222222,1.5555556,1.0,-0.11111111,0.8888889000000001,-0.7777778000000001,1.5555556,0.11666667,-1.5707964,0
189.0,141.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
116.0,184.0,9,0.0,0.0,2.2222226000000003,2.118519,10.611111,45.085182,31.703703000000004,28.777779,38.0,28.333334000000004,-8.777778,18.88889,-10.111111,38.333336,0.25072145,-2.2154639,1
123.0,183.0,9,0.0,0.0,1.111111,0.6518524,6.333334,36.933327,32.25926,29.444445,39.11111,28.222221,-8.444445,20.555555,-12.111111,39.11111,0.2664361,-1.970772,1
124.0,98.0,9,0.0,0.0,0.9999997,1.0110505,1.2222217,1.2938603000000002,21.518518,16.88889,30.444445,17.222223,-13.888889,26.777779,-12.888889,30.444445,0.4486757,-2.1182357999999994,0
10.0,207.0,9,0.0,0.0,2.61111,1.3066788,3.1111119,3.0086293,52.11111,46.0,64.88889,45.444443,-18.333334,38.333332,-20.0,64.88889,0.29928485,-2.0633535,1
142.0,112.0,9,0.0,0.0,1.0555557,0.49065286,0.55555534,0.34426492,28.851852,24.555555,36.22222,25.777779,-12.888889,22.11111,-9.222222,36.22222,0.32174963,-2.2001557000000003,0
121.0,134.0,9,0.0,0.0,0.22222228,0.029629644,0.8333333,0.07777786,1.6666666,0.6666667,4.0,0.33333334,-3.0,7.0,-4.0,4.0,0.93703705,-2.0131435,0
235.0,195.0,9,0.0,0.0,1.8888887,2.0940824,2.9999988,1.7384534,48.333332,42.77778,59.66666800000001,42.555557,-16.666666,34.0,-17.333334,59.66666800000001,0.29058507,-2.0810955,1
142.0,185.0,9,0.11111111,0.0,2.2777786,1.7690771,3.1111114,1.1674604,47.814816,43.88889,58.22221999999999,41.333336,-11.777778,31.222221,-19.444445,58.22221999999999,0.28914437,-1.937924,1
196.0,95.0,9,0.0,0.0,1.722222,1.1238165,1.3333335,1.264911,7.6296296,6.777777700000001,10.777778,5.3333335,-2.5555556,9.444445,-6.888889,10.777778,0.51256585,-1.7492584,0
52.0,196.0,9,0.0,0.0,1.4444447,1.3277662,6.777777,4.1881666,46.074074,40.444443,57.11111,40.666668,-16.88889,33.11111,-16.222220999999998,57.11111,0.29404518,-2.1056774,1
160.0,41.0,9,0.0,0.0,0.8333333,0.8096638,0.22222225,0.17213258,0.7037036999999999,0.5555555999999999,1.2222222,0.33333334,-0.44444445,1.5555556,-1.1111112,1.2222222,0.537037,-1.8451205,0
43.0,152.0,9,0.0,0.0,1.9444445,1.7074082,1.2222222,0.8296299000000001,1.5185186000000002,1.0,2.8888888,0.6666667,-1.5555556,4.111111,-2.5555556,2.8888888,0.64867723,-1.9332389,0
70.0,177.0,9,0.0,0.0,2.166666,1.0697887,1.666666,1.1737879999999998,49.444443,45.0,61.0,42.333336,-13.333332999999998,34.666668,-21.333334,61.0,0.30596185,-1.9426625,1
14.0,135.0,9,0.0,0.0,0.27777776,0.062962964,0.27777776,0.06296293,2.8888888,1.6666666,6.0,1.0,-3.6666667,9.333333,-5.6666665,6.0,0.83227515,-1.958546,0
167.0,135.0,9,0.0,0.0,0.61111134,0.107407376,0.61111134,0.15185179,31.185184000000003,24.0,43.11111,26.444445,-21.555555,35.77778,-14.222222,43.11111,0.44313568,-2.2278013,0
134.0,93.0,9,0.0,0.0,0.38888898,0.25092435,0.88888866,0.5443307,20.925926,16.666667999999998,29.555555,16.555555,-12.777778,25.88889,-13.111111,29.555555,0.44337976,-2.0860834,0
76.0,200.0,9,0.0,0.0,2.7777786,0.77936363,4.3333325,2.8828998,56.37037,50.444443,69.66667,49.0,-17.777779000000002,39.88889,-22.11111,69.66667,0.29683578,-2.0211716,1
25.0,198.0,9,0.0,0.0,2.8333328,1.3457742,4.1111107,3.3444247000000003,48.703705,42.77778,61.0,42.333336,-17.777779000000002,36.88889,-19.11111,61.0,0.30964476,-2.070717,1
189.0,184.0,9,0.0,0.11111111,1.666666,0.84327394,2.7777774,2.0073938,50.592594,45.88889,62.33333199999999,43.555557,-14.111111,35.22222,-21.11111,62.33333199999999,0.30094525,-1.9644797,1
205.0,194.0,9,0.0,0.0,1.6111107,1.2003093,5.388889,3.0435104,41.296295,37.11111,50.444443,36.333336,-12.555555,27.444445,-14.888889,50.444443,0.28055963,-2.0375679,1
78.0,186.0,9,0.0,0.0,2.833334,2.1222198,3.5555556000000004,4.2074056,35.296295,31.222221,43.88889,30.777779,-12.222222,25.777779,-13.555554999999998,43.88889,0.30228558,-2.0601218,1
189.0,187.0,9,0.0,0.0,1.2222227,1.0036974,3.0555553,2.3890193,48.51852,44.11111,59.88889,41.555557,-13.222222,34.11111,-20.88889,59.88889,0.30575457,-1.9474715,1
198.0,183.0,9,0.0,0.0,1.0555546999999998,1.1816497,3.3888881,1.5974506000000002,54.037037,48.88889,66.55556,46.666668,-15.444445000000002,37.555557,-22.11111,66.55556,0.2986217,-1.9749589,1
185.0,188.0,9,0.0,0.0,1.7777767,1.1287484,1.9999994,1.2472184,50.185184,45.0,62.11111,43.444443,-15.555554999999998,35.77778,-20.222221,62.11111,0.3004297999999999,-2.0073802,1
201.0,34.0,9,0.0,0.0,4.277778,3.05808,0.44444466,0.4036869,13.740741,9.777778,20.88889,10.555555,-11.888889,21.444445,-9.555555,20.88889,0.5448579000000001,-2.1628716,0
245.0,140.0,9,0.0,0.0,0.16666666,0.27888668,0.6111111,0.7428674,0.4074074,0.22222222,0.7777778000000001,0.22222222,-0.5555555999999999,1.1111112,-0.5555555999999999,0.7777778000000001,0.24074075,-2.0943952,0
184.0,91.0,9,0.0,0.0,1.222222,0.38518563,0.3888893,0.10740757,24.074074,17.777779000000002,34.88889,19.555555,-18.88889,32.444443,-13.555554999999998,34.88889,0.48999,-2.2024248,0
86.0,179.0,9,0.0,0.0,2.0,1.2823589,3.555556,3.0743864,50.555557,45.77778,62.11111,43.77778,-14.333332999999998,34.666668,-20.333334,62.11111,0.29654688,-1.9786568,1
152.0,155.0,9,0.0,0.0,0.5,0.61111104,10.777778,131.80739,7.296296000000001,5.3333335,11.0,5.5555553,-5.888889,11.111111,-5.222222299999999,11.0,0.5,-2.115567,0
216.0,151.0,9,0.0,0.0,0.16666667,0.2788867,0.11111113,0.17213261,0.11111111,0.0,0.33333334,0.0,-0.33333334,0.6666667,-0.33333334,0.33333334,0.22222222,-2.0943952,0
247.0,159.0,9,0.0,0.0,2.5555553,5.05185,15.722220000000002,168.95189,35.77778,30.444445,45.0,31.888890000000004,-16.0,27.666666,-11.666667,45.444443,0.28921792,-2.5493495,1
197.0,161.0,9,0.0,0.0,1.9999996,5.5555515,11.5,99.63333,42.37037,36.88889,51.666668,38.555557,-16.444445,27.888890000000004,-11.444445,51.77778,0.27503988,-2.395566,1
147.0,193.0,9,0.0,0.0,6.611112599999999,3.6050377,7.055556,5.4095254,51.74074,46.555557,63.0,45.666668,-15.555554999999998,33.77778,-18.222221,63.0,0.27526647,-2.0801742,1
220.0,149.0,9,0.0,0.0,0.11111113,0.17213261,0.11111113,0.17213261,0.037037037,0.0,0.11111111,0.0,-0.11111111,0.22222222,-0.11111111,0.11111111,0.11111111,-2.0943952,0
237.0,83.0,9,0.0,0.0,0.7222223000000001,0.41851845,5.8333335,20.922216,9.888889,6.0,17.0,6.666666499999999,-11.666667,21.333334,-9.666667,17.0,0.6765810999999999,-2.1502569,0
166.0,110.0,9,0.0,0.11111111,0.61111134,0.24074027,2.1111114,2.2962978,29.296297,23.0,40.444443,24.444445,-18.88889,33.444443,-14.555554999999998,40.444443,0.4318248999999999,-2.182018,0
156.0,154.0,9,0.0,0.0,0.2777777999999999,0.3277307,0.77777773,0.544331,1.7407408,1.0,3.5555556000000004,0.6666667,-2.2222223,5.4444447,-3.2222223,3.5555556000000004,0.8388889,-1.9882019,0
36.0,207.0,9,0.0,0.0,2.722222,3.1792145,6.444444,2.8021147,56.814816,50.444443,70.111115,49.88889,-19.11111,39.88889,-20.777779,70.111115,0.2906682,-2.0627244,1
56.0,196.0,9,0.0,0.0,2.38889,1.4207458,4.444445,4.3902254,50.074074,44.333332,62.22221999999999,43.666668,-17.222220999999998,36.444443,-19.222221,62.22221999999999,0.2979627999999999,-2.0547533,1
53.0,176.0,9,0.0,0.0,1.9444453,0.8798155000000001,1.5555559,1.9962938,50.296295,45.444443,62.11111,43.333332,-14.555554999999998,35.444443,-20.88889,62.11111,0.3024212,-1.9775702,1
96.0,193.0,9,0.0,0.0,1.3333327,1.1155469999999998,1.8333327,1.8469193,62.70370500000001,54.77778000000001,78.77778,54.55555699999999,-23.777779,48.22222,-24.444445,78.77778,0.310288,-2.0849354,1
58.0,113.0,9,0.0,0.0,3.4444447,1.2232318000000002,0.7222223000000001,0.38968182,20.851852,16.88889,28.444445,17.222223,-11.888889,22.777779,-10.888889,28.444445,0.4148072,-2.1256926,0
152.0,152.0,9,0.0,0.0,0.16666669,0.033333343,2.1111112000000003,4.340741,1.4074074,1.0,2.4444444,0.7777778000000001,-1.2222222,3.1111112000000003,-1.8888888,2.4444444,0.43915343,-2.0002720000000003,0
24.0,172.0,9,0.0,0.0,1.166667,0.9128703,9.777778,5.455545,42.037037,38.0,50.333332,37.77778,-12.111111,24.88889,-12.777778,50.333332,0.24983571,-2.143718,1
142.0,111.0,9,0.0,0.0,1.1111113,0.45541987,0.55555534,0.34426492,28.74074,24.555555,35.88889,25.777779,-12.555555,21.444445,-8.888889,35.88889,0.31548372,-2.2026672,0
96.0,135.0,9,0.0,0.0,0.38888893,0.06296293,0.16666664,0.033333324,1.925926,1.0,4.4444447,0.33333334,-2.7777777,7.5555553,-4.777777700000001,4.4444447,0.92777777,-1.9313321,0
234.0,175.0,9,0.0,0.0,1.9444441000000003,1.323576,3.4444454,2.2574966,57.77778000000001,50.666668,72.66667,50.0,-21.333334,44.666668,-23.333334,72.66667,0.31203708,-2.0637763,1
203.0,61.0,9,0.0,0.0,0.16666675,0.2788868,0.7222221,0.44305354,7.0,4.4444447,12.333333,4.222222299999999,-7.666666499999999,16.0,-8.333333,12.333333,0.66625965,-2.0682037,0
